City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberGo,COMPLETED,2021-01-15 12:46:18 +0000 UTC,2021-01-15 12:53:24 +0000 UTC,18.57173,73.769104,"Lane, no.6, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",2021-01-15 12:59:58 +0000 UTC,18.576742,73.77352,"2/1/36, Samarth Ln, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",1.20,72,INR
Pune,UberGo,COMPLETED,2021-01-15 12:09:27 +0000 UTC,2021-01-15 12:22:27 +0000 UTC,18.576612,73.77348,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2021-01-15 12:29:53 +0000 UTC,18.571804,73.76988,"A1, Golden St, Baner Gaon, Balewadi, Pune, Maharashtra 411045, India",1.24,74,INR
Pune,UberAuto,CANCELED,2021-01-14 09:55:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2021-01-12 13:02:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2021-01-12 13:00:08 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-12-28 10:56:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-12-28 10:48:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.566034,73.76668,"EFC Prime, S. No. 104/3, ‘Sharayu Harmony’, Pune Bangalore Highway Near Balewadi, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.566034,73.76668,"EFC Prime, S. No. 104/3, ‘Sharayu Harmony’, Pune Bangalore Highway Near Balewadi, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,UberAuto,COMPLETED,2020-12-28 10:17:11 +0000 UTC,2020-12-28 10:21:29 +0000 UTC,18.576675,73.77342,"2/1/36, Samarth Ln, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",2020-12-28 10:26:15 +0000 UTC,18.566833,73.76949,"Laxman Nagar, Baner, Pune, Maharashtra 411045, India",1.39,38,INR
Pune,UberGo,COMPLETED,2020-12-27 04:28:04 +0000 UTC,2020-12-27 04:36:38 +0000 UTC,18.5768,73.7735,"2/1/36, Samarth Ln, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",2020-12-27 04:55:01 +0000 UTC,18.507874,73.79717,"Left Bhusari Colony, Indira Shankar Nagari, Bhusari Colony, Kothrud, Pune, Maharashtra 411038, India",7.71,152,INR
Pune,UberAuto,COMPLETED,2020-12-09 10:10:13 +0000 UTC,2020-12-09 10:15:11 +0000 UTC,18.55508,73.79588,"8, Baner, Pune, Maharashtra 411045, India",2020-12-09 10:25:40 +0000 UTC,18.576542,73.77359,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2.46,54,INR
Pune,UberAuto,COMPLETED,2020-11-25 12:22:15 +0000 UTC,2020-11-25 12:27:39 +0000 UTC,18.573511,73.78057,"Eternity, Baner - Balewadi Rd, Laxmi Nagar, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045, India",2020-11-25 12:31:15 +0000 UTC,18.576641,73.77355,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",0.68,22,INR
Pune,UberGo,COMPLETED,2020-11-17 14:09:39 +0000 UTC,2020-11-17 14:19:54 +0000 UTC,18.648481,73.78059,"Pandharkar Complex, panchatara Nagar, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",2020-11-17 14:45:23 +0000 UTC,18.576645,73.77353,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",7.46,161,INR
Pune,UberAuto,COMPLETED,2020-11-09 13:10:06 +0000 UTC,2020-11-09 13:13:28 +0000 UTC,18.573433,73.78075,"6/5/3, Old Baner-Balewadi Rd, Laxmi Nagar, Baner, Pune, Maharashtra 411045, India",2020-11-09 13:16:43 +0000 UTC,18.576605,73.77352,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",0.69,22,INR
Pune,UberAuto,COMPLETED,2020-11-09 12:40:48 +0000 UTC,2020-11-09 12:48:34 +0000 UTC,18.576553,73.77349,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-11-09 12:52:42 +0000 UTC,18.573462,73.7808,"6/5/3, Old Baner-Balewadi Rd, Laxmi Nagar, Baner, Pune, Maharashtra 411045, India",0.67,23,INR
Pune,UberAuto,COMPLETED,2020-11-06 09:39:26 +0000 UTC,2020-11-06 09:47:58 +0000 UTC,18.57662,73.77356,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-11-06 09:53:11 +0000 UTC,18.56681,73.76954,"Laxman Nagar, Baner, Pune, Maharashtra 411045, India",1.40,35,INR
Pune,UberAuto,CANCELED,2020-10-31 12:01:05 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.57636,73.77958,"Balewadi Gaon, Balewadi, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.57890369157632,73.77168180609482,"37/2/1, Patil Nagar, Donje, Pune, Maharashtra 411045, India",0.00,12,INR
Pune,UberAuto,COMPLETED,2020-10-31 11:27:50 +0000 UTC,2020-10-31 11:35:26 +0000 UTC,18.576624,73.773575,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-10-31 11:41:14 +0000 UTC,18.567993,73.78232,"Aviskar Elegance Building, Baner - Balewadi Rd, Chakankar Mala, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",1.10,27,INR
Pune,UberGo,COMPLETED,2020-10-29 13:09:09 +0000 UTC,2020-10-29 13:23:06 +0000 UTC,18.648485,73.78067,"35, panchatara Nagar, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",2020-10-29 13:53:16 +0000 UTC,18.576666,73.773506,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",7.46,178,INR
